id,name_en,name_ta,slug,description_en,description_ta,parent_id,is_active,sort_order,is_featured,meta_title,meta_description
1,"Spices & Masalas","மசாலா மற்றும் வாசனை திரவியங்கள்","spices-masalas","Premium quality spices and masala powders sourced from across India. Organic and traditional varieties available.","இந்தியா முழுவதும் இருந்து பெறப்படும் உயர்ந்த தரமான மசாலா மற்றும் வாசனை திரவியங்கள். இயற்கை மற்றும் பாரம்பரிய வகைகள் கிடைக்கின்றன.",0,true,1,true,"Spices & Masalas - Buy Online","Premium spices and masalas online at best price"
2,"Cleaning Products","சுத்தப்படுத்தும் பொருட்கள்","cleaning-products","Complete range of cleaning products for home and commercial use. Floor cleaners, phenyl, toilet cleaners, and more.","வீடு மற்றும் வணிக பயன்பாட்டிற்கான முழுமையான சுத்தப்படுத்தும் பொருட்கள். தரை சுத்தப்படுத்திகள், ஃபீனைல், டாய்லெட் க்ளீனர்கள் மற்றும் பல.",0,true,2,true,"Cleaning Products - Naturecare","Buy cleaning products online at best price"
3,"Personal Care & Hygiene","தனிப்பட்ட பராமரிப்பு மற்றும் சுகாதாரம்","personal-care-hygiene","Personal care and hygiene products for daily use. Hand wash, sanitizer, and feminine hygiene products.","தினசரி பயன்பாட்டிற்கான தனிப்பட்ட பராமரிப்பு மற்றும் சுகாதார பொருட்கள். கை கழுவும் நீர்மம், சானிட்டைசர் மற்றும் பெண்கள் சுகாதார பொருட்கள்.",0,true,3,true,"Personal Care & Hygiene - Naturecare","Buy personal care and hygiene products online"
4,"Hair Care","முடி பராமரிப்பு","hair-care","Natural and chemical-free hair care products. Shampoos, conditioners, and hair treatments.","இயற்கை மற்றும் இரசாயனம் இல்லாத முடி பராமரிப்பு பொருட்கள். ஷாம்பு, கண்டிஷனர்கள் மற்றும் முடி சிகிச்சைகள்.",0,true,4,true,"Hair Care Products - Naturecare","Buy natural hair care products online"
5,"Laundry Care","துவைப்பு பராமரிப்பு","laundry-care","Laundry care products for clean and fresh clothes. Detergent liquids, fabric conditioners, and whiteners.","சுத்தமான மற்றும் புதிய ஆடைகளுக்கான துவைப்பு பராமரிப்பு பொருட்கள். டிடர்ஜெண்ட் லிக்விட், ஃபேப்ரிக் கண்டிஷனர்கள் மற்றும் வைட்னர்கள்.",0,true,5,false,"Laundry Care Products - Naturecare","Buy laundry care products online at best price"
6,"Air Fresheners","காற்று புதுப்பிப்பான்கள்","air-fresheners","Room fresheners with various fragrances. Instantly removes bad odours and provides long-lasting freshness.","பல்வேறு வாசனைகளுடன் அறை புதுப்பிப்பான்கள். கெட்ட வாசனைகளை உடனடியாக நீக்கி நீண்ட நேரம் புதிய தன்மையைத் தருகிறது.",0,true,6,false,"Air Fresheners - Naturecare","Buy room fresheners online at best price"
7,"Floor Cleaners","தரை சுத்தப்படுத்திகள்","floor-cleaners","Advanced formula floor cleaners with various fragrances. Removes tough stains and provides sparkling shine.","பல்வேறு வாசனைகளுடன் மேம்பட்ட சூத்திர தரை சுத்தப்படுத்திகள். கடினமான கறைகளை நீக்கி மின்னும் ஒளியைத் தருகிறது.",2,true,1,true,"Floor Cleaners - Naturecare","Buy floor cleaners online at best price"
8,"Phenyl & Disinfectants","ஃபீனைல் மற்றும் கிருமிநாசினிகள்","phenyl-disinfectants","Powerful phenyl and disinfectants for bathrooms and floors. Kills 99.9% germs and bacteria.","குளியலறைகள் மற்றும் தரைகளுக்கான சக்திவாய்ந்த ஃபீனைல் மற்றும் கிருமிநாசினிகள். 99.9% கிருமிகள் மற்றும் பாக்டீரியாக்களை கொல்கிறது.",2,true,2,true,"Phenyl & Disinfectants - Naturecare","Buy phenyl and disinfectants online"
9,"Toilet & Bathroom Cleaners","டாய்லெட் மற்றும் குளியறை சுத்தப்படுத்திகள்","toilet-bathroom-cleaners","Specialized cleaners for toilets and bathrooms. Removes stains, scale, and germs effectively.","டாய்லெட் மற்றும் குளியறைகளுக்கான சிறப்பு சுத்தப்படுத்திகள். கறைகள், அளவு மற்றும் கிருமிகளை திறம்பட நீக்குகிறது.",2,true,3,true,"Toilet & Bathroom Cleaners - Naturecare","Buy toilet and bathroom cleaners online"
10,"Dish Washing","பாத்திரம் கழுவுதல்","dish-washing","Dish washing gels and liquids. Removes tough oil and grease, gentle on hands.","பாத்திரம் கழுவும் ஜெல் மற்றும் லிக்விட். கடினமான எண்ணெய் மற்றும் கிரீஸை நீக்குகிறது, கைகளுக்கு மென்மையானது.",2,true,4,false,"Dish Washing Products - Naturecare","Buy dish washing products online"
11,"Glass & Surface Cleaners","கண்ணாடி மற்றும் பரப்பு சுத்தப்படுத்திகள்","glass-surface-cleaners","Streak-free glass cleaners and multipurpose surface cleaners for home and office.","வீடு மற்றும் அலுவலகத்திற்கான பட்டை இல்லாத கண்ணாடி சுத்தப்படுத்திகள் மற்றும் மல்டிபர்பஸ் பரப்பு சுத்தப்படுத்திகள்.",2,true,5,false,"Glass & Surface Cleaners - Naturecare","Buy glass and surface cleaners online"
12,"Fabric Care","துணி பராமரிப்பு","fabric-care","Fabric conditioners, whiteners, and laundry additives for soft and fresh clothes.","மென்மையான மற்றும் புதிய ஆடைகளுக்கான ஃபேப்ரிக் கண்டிஷனர்கள், வைட்னர்கள் மற்றும் லாண்ட்ரி சேர்க்கைகள்.",5,true,1,false,"Fabric Care Products - Naturecare","Buy fabric care products online"
13,"Hand Care","கை பராமரிப்பு","hand-care","Hand wash and hand sanitizers for daily hygiene. Gentle on skin, effective against germs.","தினசரி சுகாதாரத்திற்கான கை கழுவும் நீர்மம் மற்றும் கை சானிட்டைசர்கள். தோலுக்கு மென்மையானது, கிருமிகளுக்கு எதிராக பயனுள்ள.",3,true,1,true,"Hand Care Products - Naturecare","Buy hand wash and sanitizer online"
14,"Feminine Hygiene","பெண்கள் சுகாதாரம்","feminine-hygiene","Safe and hygienic sanitary pads. Dioxin-free with superior comfort and protection.","பாதுகாப்பான மற்றும் சுகாதாரமான சானிட்டரி பேடுகள். டையாக்சின் இலவசம், சிறந்த வசதி மற்றும் பாதுகாப்புடன்.",3,true,2,true,"Feminine Hygiene Products - Naturecare","Buy sanitary pads online at best price"
15,"Pool & Specialty Cleaners","குளம் மற்றும் சிறப்பு சுத்தப்படுத்திகள்","pool-specialty-cleaners","Swimming pool cleaners and specialty cleaning products for specific needs.","நீச்சல் குளம் சுத்தப்படுத்திகள் மற்றும் குறிப்பிட்ட தேவைகளுக்கான சிறப்பு சுத்தப்படுத்தும் பொருட்கள்.",2,true,6,false,"Pool & Specialty Cleaners - Naturecare","Buy pool cleaners and specialty products online"
