name_en,name_ta,slug,description_en,description_ta,short_description_en,short_description_ta,sku,price,sale_price,stock,weight,unit,category_id,is_active,is_featured,is_bestseller,tax_rate,nutritional_info_en,nutritional_info_ta,meta_title,meta_description,sort_order
"Power Clean Toilet Cleaner","பவர் கிளீன் டாய்லெட் க்ளீனர்","power-clean-toilet-cleaner","Naturecare Power Clean Toilet Cleaner. Kills 99.9% germs and bacteria. Removes tough stains and scale. Removes bad odour and leaves toilet fresh and hygienic. 5 Liter pack.","நேச்சர்கேர் பவர் கிளீன் டாய்லெட் க்ளீனர். 99.9% கிருமிகள் மற்றும் பாக்டீரியாக்களை கொல்கிறது. கடினமான கறைகள் மற்று ல அளவை நீக்குகிறது.","Powerful toilet cleaner - kills 99.9% germs","சக்திவாய்ந்த டாய்லெட் க்ளீனர் - 99.9% கிருமிகளை கொல்கிறது","NC-TC-PWR-021",380,329,100,5,L,9,true,true,true,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Power Clean Toilet Cleaner 5L - Naturecare","Buy Naturecare Power Clean Toilet Cleaner 5L online",16
"Bathroom Cleaner","குளியறை சுத்தப்படுத்தி","bathroom-cleaner","Naturecare Bathroom Cleaner. Removes tough stains and dirt. Kills germs and bacteria. Removes limescale and water marks. Fresh long-lasting fragrance. 5 Liter pack.","நேச்சர்கேர் குளியறை சுத்தப்படுத்தி. கடினமான கறைகள் மற்றும் அழுக்கை நீக்குகிறது. கிருமிகள் மற்றும் பாக்டீரியாக்களை கொல்கிறது.","Bathroom cleaner with germ protection","கிருமி பாதுகாப்புடன் குளியறை சுத்தப்படுத்தி","NC-BC-022",380,329,100,5,L,9,true,false,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Bathroom Cleaner 5L - Naturecare","Buy Naturecare Bathroom Cleaner 5L at best price",17
"Glass Cleaner - Fresh Natural Fragrance","கண்ணாடி சுத்தப்படுத்தி - புதிய இயற்கை வாசனை","glass-cleaner-fresh-natural-fragrance","Naturecare Glass Cleaner with Fresh Natural Fragrance. Provides streak-free shine. Removes grease. Safe for home and office use. 5 Liter pack.","நேச்சர்கேர் கண்ணாடி சுத்தப்படுத்தி புதிய இயற்கை வாசனையுடன். பட்டை இல்லாத ஒளியைத் தருகிறது. கொழுப்பை நீக்குகிறது.","Streak-free glass cleaner - 5L","பட்டை இல்லாத கண்ணாடி சுத்தப்படுத்தி - 5L","NC-GC-023",320,279,100,5,L,11,true,false,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Glass Cleaner Fresh Natural 5L - Naturecare","Buy Naturecare Glass Cleaner Fresh Natural Fragrance 5L online",18
"Tiles Cleaner","ஓடு சுத்தப்படுத்தி","tiles-cleaner","Naturecare Tiles Cleaner. Removes tough stains and dirt. Restores shine. Pleasant fresh fragrance. Suitable for daily and heavy cleaning. 5 Liter pack.","நேச்சர்கேர் ஓடு சுத்தப்படுத்தி. கடினமான கறைகள் மற்றும் அழுக்கை நீக்குகிறது. ஒளியை மீட்டளிக்கிறது.","Tiles cleaner for deep cleaning - 5L","ஆழமான சுத்தப்படுத்தலுக்கு ஓடு சுத்தப்படுத்தி - 5L","NC-TL-024",380,329,100,5,L,11,true,true,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Tiles Cleaner 5L - Naturecare","Buy Naturecare Tiles Cleaner 5L for deep cleaning",19
"Swimming Pool Cleaner - Sodium Hypochlorite","நீச்சல் குளம் சுத்தப்படுத்தி - சோடியம் ஹைப்போகுளோரைட்","swimming-pool-cleaner-sodium-hypochlorite","Naturecare Swimming Pool Cleaner with Sodium Hypochlorite. Kills bacteria, viruses and algae. Keeps pool water crystal clear. Fast acting chlorine formula. Suitable for all swimming pools. 5 Liter pack.","நேச்சர்கேர் நீச்சல் குளம் சுத்தப்படுத்தி சோடியம் ஹைப்போகுளோரைட்டுடன். பாக்டீரியா, வைரஸ்கள் மற்றும் பாசிகளை கொல்கிறது.","Swimming pool cleaner with chlorine","குளோரினுடன் நீச்சல் குளம் சுத்தப்படுத்தி","NC-SPC-025",550,499,50,5,L,15,true,true,true,18,"Not applicable - Pool chemical","பொருந்தாது - குள இரசாயனம்","Swimming Pool Cleaner Sodium Hypochlorite 5L - Naturecare","Buy Naturecare Swimming Pool Cleaner 5L online",20
"Pure Wash Detergent Liquid - Fresh Natural Fragrance","பியூர் வாஷ் டிடர்ஜெண்ட் லிக்விட் - புதிய இயற்கை வாசனை","pure-wash-detergent-liquid-fresh-natural-fragrance","Naturecare Pure Wash Detergent Liquid with Fresh Natural Fragrance. Suitable for both front load and top load washing machines. Removes tough stains easily and keeps clothes fresh and bright. Gentle on fabrics but tough on dirt. Suitable for both machine and hand wash. 5 Liter pack.","நேச்சர்கேர் பியூர் வாஷ் டிடர்ஜெண்ட் லிக்விட் புதிய இயற்கை வாசனையுடன். ஃப்ரண்ட் லோட் மற்றும் டாப் லோட் வாஷிங் மெஷின்களுக்கு ஏற்றது. கடினமான கறைகளை எளிதாக நீக்கி ஆடைகளை புதியதாகவும் பிரகாசமாகவும் வைத்திருக்கிறது.","Detergent liquid for front & top load - 5L","ஃப்ரண்ட் & டாப் லோடுக்கு டிடர்ஜெண்ட் லிக்விட் - 5L","NC-DL-PW-026",450,399,100,5,L,12,true,true,true,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Pure Wash Detergent Liquid 5L - Naturecare","Buy Naturecare Pure Wash Detergent Liquid 5L online",21
"Clean Wash Dish Washing Gel","க்ளீன் வாஷ் டிஷ் வாஷிங் ஜெல்","clean-wash-dish-washing-gel","Naturecare Clean Wash Dish Washing Gel. Removes tough oil and grease easily. Gives sparkling clean utensils. Gentle on hands with long lasting fresh fragrance. 5 Liter pack.","நேச்சர்கேர் க்ளீன் வாஷ் டிஷ் வாஷிங் ஜெல். கடினமான எண்ணெய் மற்றும் கிரீஸை எளிதாக நீக்குகிறது. மின்னும் சுத்தமான பாத்திரங்களைத் தருகிறது. கைகளுக்கு மென்மையானது, நீண்ட நேரம் புதிய வாசன்.","Dish washing gel with lemon - 5L","எலுமிச்சையுடன் டிஷ் வாஷிங் ஜெல் - 5L","NC-DW-CW-027",350,299,100,5,L,10,true,false,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Clean Wash Dish Washing Gel 5L - Naturecare","Buy Naturecare Clean Wash Dish Washing Gel 5L online",22
"Hand Sanitizer","கை சுத்தப்படுத்தி","hand-sanitizer","Naturecare Hand Sanitizer. Kills 99.9% germs effectively. No water required. Quick dry formula that is non-sticky and skin friendly. Ideal for personal hygiene and protection. 5 Liter pack.","நேச்சர்கேர் கை சுத்தப்படுத்தி. 99.9% கிருமிகளை திறம்பட கொல்கிறது. தண்ணீர் தேவையில்லை. வேகமாக உலரும் சூத்திரம், ஒட்டாத மற்றும் தோலுக்கு நட்பு.","Hand sanitizer kills 99.9% germs - 5L","99.9% கிருமிகளை கொல்லும் கை சுத்தப்படுத்தி - 5L","NC-HS-028",400,349,100,5,L,13,true,true,true,18,"Not applicable - Hygiene product","பொருந்தாது - சுகாதார பொருள்","Hand Sanitizer 5L - Naturecare","Buy Naturecare Hand Sanitizer 5L online",23
"Fabric Conditioner - Fresh Natural Fragrance","ஃபேப்ரிக் கண்டிஷனர் - புதிய இயற்கை வாசனை","fabric-conditioner-fresh-natural-fragrance","Naturecare Fabric Conditioner with Fresh Natural Fragrance. Makes clothes soft and fresh. Provides long-lasting fragrance. Gentle on all fabric types. 5 Liter pack.","நேச்சர்கேர் ஃபேப்ரிக் கண்டிஷனர் புதிய இயற்கை வாசனையுடன். ஆடைகளை மென்மையாகவும் புதியதாகவும் ஆக்குகிறது. நீண்ட நேரம் வாசனையைத் தருகிறது. அனைத்து வகை துணிகளுக்கும் ஏற்றது.","Fabric conditioner for soft clothes - 5L","மென்மையான ஆடைகளுக்கு ஃபேப்ரிக் கண்டிஷனர் - 5L","NC-FC-029",380,329,100,5,L,12,true,false,false,18,"Not applicable - Laundry product","பொருந்தாது - துவைப்பு பொருள்","Fabric Conditioner Fresh Natural 5L - Naturecare","Buy Naturecare Fabric Conditioner 5L online",24
"Hand Wash","கை கழுவும் நீர்மம்","hand-wash","Naturecare Hand Wash. Removes dirt and germs effectively. Soft and gentle on skin. Rich foaming formula with fresh and long-lasting fragrance. Ideal for daily hand hygiene. 5 Liter pack.","நேச்சர்கேர் கை கழுவும் நீர்மம். அழுக்கு மற்றும் கிருமிகளை திறம்பட நீக்குகிறது. தோலுக்கு மென்மையானது மற்றும் மென்மையானது. புதிய மற்றும் நீண்ட நேரம் வாசனையுடன் நிறைந்த நுரை சூத்திரம்.","Hand wash for daily hygiene - 5L","தினசரி சுகாதாரத்திற்கு கை கழுவும் நீர்மம் - 5L","NC-HW-030",350,299,100,5,L,13,true,false,false,18,"Not applicable - Hygiene product","பொருந்தாது - சுகாதார பொருள்","Hand Wash 5L - Naturecare","Buy Naturecare Hand Wash 5L online",25
"Soap Oil","சோப் ஆயில்","soap-oil","Naturecare Soap Oil with high cleaning efficiency. Stable and consistent quality for all your cleaning needs. Ideal for various cleaning applications. 5 Liter pack.","நேச்சர்கேர் சோப் ஆயில் உயர் சுத்தப்படுத்தும் திறனுடன். அனைத்து சுத்தப்படுத்தும் தேவைகளுக்கும் நிலையான மற்றும் தொடர்ச்சியான தரம்.","Soap oil for high cleaning - 5L","உயர் சுத்தப்படுத்தலுக்கு சோப் ஆயில் - 5L","NC-SO-031",380,329,100,5,L,10,true,false,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Soap Oil 5L - Naturecare","Buy Naturecare Soap Oil 5L for high cleaning efficiency",26
"Multipurpose Liquid","மல்டிபர்பஸ் லிக்விட்","multipurpose-liquid","Naturecare Multipurpose Liquid. Removes dirt, grease and stains effectively. Fresh long-lasting fragrance. Suitable for multiple surfaces. Ideal for both home and commercial use. 5 Liter pack.","நேச்சர்கேர் மல்டிபர்பஸ் லிக்விட். அழுக்கு, கொழுப்பு மற்றும் கறைகளை திறம்பட நீக்குகிறது. புதிய நீண்ட நேரம் வாசனை. பல்வேறு பரப்புகளுக்கு ஏற்றது. வீடு மற்றும் வணிக பயன்பாட்டிற்கு சிறந்தது.","Multipurpose cleaner for all surfaces - 5L","அனைத்து பரப்புகளுக்கும் மல்டிபர்பஸ் க்ளீனர் - 5L","NC-MP-032",380,329,100,5,L,11,true,true,false,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Multipurpose Liquid 5L - Naturecare","Buy Naturecare Multipurpose Liquid 5L for home and commercial use",27
"Fabric Whitener","ஃபேப்ரிக் வைட்னர்","fabric-whitener","Naturecare Fabric Whitener. Provides fresh clean finish. Enhances fabric whiteness effectively. Removes yellowing and dullness from clothes. Suitable for both hand wash and machine wash. 5 Liter pack.","நேச்சர்கேர் ஃபேப்ரிக் வைட்னர். புதிய சுத்தமான முடிவைத் தருகிறது. துணி வெண்மையை திறம்பட மேம்படுத்துகிறது. ஆடைகளில் இருந்து மஞ்சள் நிறம் மற்றும் மங்கலான தன்மையை நீக்குகிறது. கை கழுவுதல் மற்றும் மெஷின் வாஷ் இரண்டிற்கும் ஏற்றது.","Fabric whitener for white clothes - 5L","வெள்ளை ஆடைகளுக்கு ஃபேப்ரிக் வைட்னர் - 5L","NC-FW-033",350,299,100,5,L,12,true,false,false,18,"Not applicable - Laundry product","பொருந்தாது - துவைப்பு பொருள்","Fabric Whitener 5L - Naturecare","Buy Naturecare Fabric Whitener 5L online",28
"Herbal Shampoo - 200ml","ஹர்பல் ஷாம்பு - 200ml","herbal-shampoo-200ml","Naturecare Herbal Shampoo with 2X result. Sulfate free, paraben free, PEG free, microplastics free, and petrochemicals free. Provides silky and smooth hair with natural herbal goodness. 200ml pack.","நேச்சர்கேர் ஹர்பல் ஷாம்பு 2X முடிவுடன். சல்ஃபேட் இலவசம், பாராபென் இலவசம், PEG இலவசம், மைக்ரோபிளாஸ்டிக் இலவசம் மற்றும் பெட்ரோகெமிக்கல் இலவசம். இயற்கை மூலிகை நல்லிணக்கத்துடன் பட்டுப்போன்ற மற்றும் மென்மையான முடியைத் தருகிறது. 200ml பாக்.","Chemical-free herbal shampoo - 200ml","ரசாயனம் இல்லாத ஹர்பல் ஷாம்பு - 200ml","NC-HS-200",150,125,200,200,ml,4,true,true,true,18,"Not applicable - Personal care product","பொருந்தாது - தனிப்பட்ட பராமரிப்பு பொருள்","Herbal Shampoo 200ml - Naturecare","Buy Naturecare Herbal Shampoo 200ml sulfate free online",29
"Naturecare Sanitary Pads - Regular (12 Pads)","நேச்சர்கேர் சானிட்டரி பேடுகள் - ரெகுலர் (12 பேடுகள்)","naturecare-sanitary-pads-regular","Naturecare Sanitary Pads with 5-in-1 feature. Dioxin free, 100% safe and hygiene. Ultra soft and cotton layer. Individually wrapped in non-woven material. Pack of 12 regular pads.","நேச்சர்கேர் சானிட்டரி பேடுகள் 5-இன்-1 அம்சத்துடன். டையாக்சின் இலவசம், 100% பாதுகாப்பான மற்றும் சுகாதாரம். அல்ட்ரா சாஃப்ட் மற்றும் பருத்தி அடுக்கு. தனித்தனியாக நான்-வோவனில் சுற்றப்பட்டுள்ளது. 12 ரெகுலர் பேடுகள் தொகுப்பு.","Dioxin free sanitary pads - 12 pads","டையாக்சின் இலவச சானிட்டரி பேடுகள் - 12 பேடுகள்","NC-SP-REG-001",120,99,200,12,pieces,14,true,true,true,12,"Not applicable - Hygiene product","பொருந்தாது - சுகாதார பொருள்","Naturecare Sanitary Pads Regular 12 Pads","Buy Naturecare Sanitary Pads Regular 12 Pads online",30
"Pure Wash Detergent Liquid - 1+1 Offer Pack","பியூர் வாஷ் டிடர்ஜெண்ட் லிக்விட் - 1+1 சலுகை தொகுப்பு","pure-wash-detergent-liquid-1-plus-1-offer","Naturecare Pure Wash Detergent Liquid 1+1 Offer Pack. Get two bottles at a special discounted price. Suitable for both front load and top load washing machines. Removes tough stains and keeps clothes fresh. MRP ₹450, Special Price ₹380.","நேச்சர்கேர் பியூர் வாஷ் டிடர்ஜெண்ட் லிக்விட் 1+1 சலுகை தொகுப்பு. சிறப்பு தள்ளுபடி விலையில் இரண்டு பாட்டில்களைப் பெறுங்கள். ஃப்ரண்ட் லோட் மற்றும் டாப் லோட் வாஷிங் மெஷின்களுக்கு ஏற்றது. கடினமான கறைகளை நீக்கி ஆடைகளை புதியதாக வைத்திருக்கிறது. எம்.ஆர்.பி ₹450, சிறப்பு விலை ₹380.","1+1 offer detergent liquid - Best deal","1+1 சலுகை டிடர்ஜெண்ட் லிக்விட் - சிறந்த சலுகை","NC-DL-PW-1PLUS1",450,380,75,1000,ml,12,true,true,true,18,"Not applicable - Cleaning product","பொருந்தாது - சுத்தப்படுத்தும் பொருள்","Pure Wash Detergent Liquid 1+1 Offer - Naturecare","Buy Naturecare Pure Wash Detergent Liquid 1+1 Offer at ₹380",31
